id,calories,proteins,fat,carbohydrate,name,kategori
1150,15.0,0.6,0.1,3.1,Sop Kool dan Wortel,sayur
1151,89.0,7.2,5.0,3.9,Sop saudara masakan,bahan pangan
1152,42.0,3.9,1.7,2.8,Soto bandung masakan,bahan pangan
1153,110.0,2.9,9.5,3.2,Soto banjar masakan,bahan pangan
1154,135.0,2.5,8.8,11.5,Soto betawi masakan,bahan pangan
1155,127.5,2.6,9.4,8.3,Soto dengan Daging,lauk
1156,92.0,11.8,4.3,1.4,Soto jeroan masakan,bahan pangan
1157,38.0,2.6,2.3,1.8,Soto kudus masakan,bahan pangan
1158,60.0,3.5,4.5,1.3,Soto madura masakan,bahan pangan
1159,127.0,5.9,6.6,11.0,Soto padang masakan,bahan pangan
1160,94.0,3.0,6.8,5.1,Soto pekalongan masakan,bahan pangan
1161,75.0,3.6,5.2,3.5,Soto pemalang masakan,bahan pangan
1162,80.0,3.2,3.5,9.0,Soto sukaraja masakan,bahan pangan
1163,86.0,2.3,8.5,0.0,Soto sulung masakan,bahan pangan
1164,117.1,0.4,8.6,9.6,Soto tanpa Daging ,lauk
1165,139.0,7.4,2.1,22.6,Spaghetti,bahan pangan
1166,101.0,1.7,0.6,35.2,Srikaya,bahan pangan
1167,75.0,5.6,0.4,12.2,Sukiyaki masakan,bahan pangan
1168,119.0,1.4,0.2,28.1,Sukun muda segar,bahan pangan
1169,126.0,1.6,0.2,24.5,Sukun tua segar,bahan pangan
1170,418.0,19.0,9.0,65.5,Susu asam untuk bayi bubuk,bahan pangan
1171,513.0,24.6,30.0,36.2,Susu bubuk,bahan pangan
1172,64.0,4.3,2.3,6.6,Susu Kambing,bahan pangan
1173,41.0,3.5,2.5,5.0,Susu Kedelai,bahan pangan
1174,336.0,8.2,10.0,55.0,Susu Kental Manis,bahan pangan
1175,138.0,7.0,7.9,9.9,Susu Kental Tak Manis,bahan pangan
1176,160.0,6.3,12.0,7.1,Susu Kerbau,bahan pangan
1177,61.0,3.2,3.5,4.3,Susu Sapi,bahan pangan
1178,36.0,3.5,0.1,5.1,Susu Skim (tak berlemak),bahan pangan
1179,359.0,35.6,1.0,52.0,Susu skim bubuk,bahan pangan
1180,36.0,3.5,0.1,5.1,Susu skim segar,bahan pangan
1181,87.0,5.3,5.2,6.3,Susupan,bahan pangan
1182,90.0,1.5,0.1,21.9,Suweg kukus,bahan pangan
1183,69.0,1.0,0.1,15.7,Suweg mentah,bahan pangan
1184,74.0,1.4,0.1,17.2,Suweg talas segar,bahan pangan
1185,347.0,0.5,0.9,84.2,Suwir-suwir,bahan pangan
1186,68.0,7.8,4.6,1.6,Tahu,bahan pangan
1187,115.0,9.7,8.5,2.5,Tahu goreng,bahan pangan
1188,328.0,12.6,19.9,24.6,Tahu telur,lauk
1189,148.0,13.8,8.5,4.0,Takwa,bahan pangan
1190,120.0,1.5,0.3,28.2,Talas bogor kukus,bahan pangan
1191,163.0,2.3,0.5,36.4,Talas pontianak segar,bahan pangan
1192,115.0,1.8,0.5,25.9,Talas viqueque segar,bahan pangan
1193,120.0,1.5,0.3,28.2,Tales kukus,bahan pangan
1194,98.0,1.9,0.2,23.7,Tales mentah,bahan pangan
1195,166.0,10.4,4.9,24.1,Taoco,bahan pangan
1196,88.0,3.2,2.1,14.0,Taoge goreng,bahan pangan
1197,76.0,9.0,2.6,6.4,Taoge kacang kedelai segar,bahan pangan
1198,28.0,3.0,0.8,4.0,Taoge seduh,bahan pangan
1199,34.0,3.7,1.2,4.3,Taoge segar,bahan pangan
1200,104.0,12.9,6.8,1.2,Taokoa,bahan pangan
1201,99.0,1.7,0.3,22.4,Tapai beras,bahan pokok
1202,166.0,3.8,1.0,34.4,Tapai ketan hitam,bahan pangan
1203,172.0,3.0,0.5,37.5,Tapai ketan putih,bahan pangan
1204,169.0,1.4,0.3,40.2,Tapai singkong,bahan pangan
1205,358.0,7.5,4.3,70.4,Tauco cap DAS cake,bahan pangan
1206,277.0,9.1,4.7,49.6,Tauji cap singa,bahan pangan
1207,25.0,4.6,0.4,3.0,Tebu Terubuk,bahan pangan
1208,83.0,10.4,3.4,2.8,Tedong pallu basa masakan,bahan pangan
1209,132.0,19.5,0.7,67.8,Teh,bahan pangan
1210,300.0,28.3,4.8,53.6,Teh hijau daun kering,bahan pangan
1211,299.0,24.1,3.5,59.0,Teh melati daun kering,bahan pangan
1212,34.0,2.0,0.1,7.9,Tekokak,bahan pangan
1213,294.0,8.3,1.7,72.6,Tekokak kering,bahan pangan
1214,53.0,1.9,0.9,9.4,Tekwan,bahan pangan
1215,162.0,12.8,11.5,0.7,Telur Ayam,lauk
1216,361.0,19.3,31.9,0.7,Telur Ayam bagian kuning,lauk
1217,50.0,10.8,0.0,0.8,Telur Ayam bagian putih,lauk
1218,383.0,15.1,32.9,8.3,Telur Ayam ceplok,lauk
1219,251.0,16.3,19.4,1.4,Telur Ayam dadar,lauk
1220,179.0,13.6,13.3,4.4,Telur ayam kampung ,lauk
1221,386.0,17.0,35.0,0.8,Telur bebek bagian kuning segar,lauk
